,idx_session,idx_pi,idx_start,idx_stop,stop_session,base_iterations,quite,iteration,pi,start,stop,method
18,72,73,74,75,-1,1900000,True,1900000,3.141592390431754,1679974773.834883,1679974781.6685498,<class 'threading.Thread'>
19,76,77,78,79,-1,2000000,True,4000000,3.1415924869231824,1679974775.0569863,1679974784.5529149,<class 'threading.Thread'>
0,0,1,2,3,-1,100000,True,13200000,3.1415925784019962,1679974796.5447557,1679974812.4229462,<class 'threading.Thread'>
1,4,5,6,7,-1,200000,True,14800000,3.141592586923296,1679974796.5786514,1679974813.1497731,<class 'threading.Thread'>
2,8,9,10,11,-1,300000,True,14100000,3.1415925841454104,1679974796.700408,1679974812.8589835,<class 'threading.Thread'>
3,12,13,14,15,-1,400000,True,17600000,3.1415925980342303,1679974796.761732,1679974812.9535956,<class 'threading.Thread'>
4,16,17,18,19,-1,500000,True,11500000,3.1415925702567287,1679974796.8829827,1679974812.9199224,<class 'threading.Thread'>
5,20,21,22,23,-1,600000,True,18600000,3.1415926015063027,1679974796.9905431,1679974813.3208025,<class 'threading.Thread'>
6,24,25,26,27,-1,700000,True,9800000,3.141592558351706,1679974797.34094,1679974813.1357734,<class 'threading.Thread'>
7,28,29,30,31,-1,800000,True,12000000,3.141592575464818,1679974797.4945853,1679974813.121198,<class 'threading.Thread'>
8,32,33,34,35,-1,900000,True,10800000,3.1415925681200494,1679974797.6460307,1679974813.0395575,<class 'threading.Thread'>
9,36,37,38,39,-1,1000000,True,10000000,3.141592562680888,1679974797.753224,1679974812.4661293,<class 'threading.Thread'>
10,40,41,42,43,-1,1100000,True,8800000,3.141592552579673,1679974798.4212563,1679974810.6836054,<class 'threading.Thread'>
11,44,45,46,47,-1,1200000,True,10800000,3.1415925702567287,1679974798.786101,1679974812.4042768,<class 'threading.Thread'>
12,48,49,50,51,-1,1300000,True,10400000,3.1415925681200494,1679974799.3160512,1679974812.9628818,<class 'threading.Thread'>
13,52,53,54,55,-1,1400000,True,7000000,3.141592534542221,1679974799.8632965,1679974812.1735687,<class 'threading.Thread'>
14,56,57,58,59,-1,1500000,True,3000000,3.141592431367502,1679974800.4871197,1679974809.310404,<class 'threading.Thread'>
15,60,61,62,63,-1,1600000,True,4800000,3.141592497339822,1679974801.234068,1679974811.5363345,<class 'threading.Thread'>
16,64,65,66,67,-1,1700000,True,5100000,3.141592506530951,1679974801.4150155,1679974811.480671,<class 'threading.Thread'>
17,68,69,70,71,-1,1800000,True,3600000,3.1415924684045264,1679974801.8888917,1679974811.2983134,<class 'threading.Thread'>
18,72,73,74,75,-1,1900000,True,5700000,3.141592522010765,1679974802.040384,1679974812.4281929,<class 'threading.Thread'>
19,76,77,78,79,-1,2000000,True,4000000,3.1415924869231824,1679974802.4214897,1679974810.6326017,<class 'threading.Thread'>
